Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,12.03125,11.5,11.984375,11.828125,772000.0,7.395249843597412
2000-01-04,11.8125,11.375,11.8125,11.5,667600.0,7.190098285675049
2000-01-05,11.71875,11.34375,11.5,11.515625,857600.0,7.199868679046631
2000-01-06,12.0,10.40625,11.125,11.921875,3072000.0,7.4538655281066895
2000-01-07,12.5,11.875,11.921875,12.234375,2006000.0,7.649245738983154
2000-01-10,12.46875,11.953125,12.171875,12.40625,1014800.0,7.756704807281494
2000-01-11,12.3125,11.59375,12.3125,11.703125,769200.0,7.31709623336792
2000-01-12,11.96875,11.625,11.703125,11.75,677600.0,7.346404552459717
2000-01-13,12.25,11.796875,11.8125,11.953125,608400.0,7.47340202331543
2000-01-14,12.0625,11.671875,12.015625,11.671875,443200.0,7.2975544929504395
2000-01-18,11.640625,11.375,11.546875,11.5625,511200.0,7.229173183441162
2000-01-19,11.5625,11.265625,11.5625,11.296875,1146800.0,7.0630974769592285
2000-01-20,11.359375,10.96875,11.359375,11.046875,572400.0,6.906787395477295
2000-01-21,11.25,10.578125,11.109375,10.75,1079600.0,6.72117805480957
2000-01-24,10.8125,10.28125,10.796875,10.421875,1034400.0,6.516023635864258
2000-01-25,10.421875,10.046875,10.375,10.140625,1258800.0,6.34018087387085
2000-01-26,10.296875,10.0,10.203125,10.171875,2245200.0,6.359718322753906
2000-01-27,10.109375,9.75,10.109375,9.953125,1246800.0,6.222949028015137
2000-01-28,10.15625,9.5,10.125,9.65625,1690000.0,6.037336349487305
2000-01-31,9.734375,9.4375,9.59375,9.5625,1202800.0,5.978722095489502
2000-02-01,9.5625,9.296875,9.375,9.3125,1048000.0,5.822416305541992
2000-02-02,9.453125,9.140625,9.3125,9.140625,979600.0,5.714954853057861
2000-02-03,9.421875,9.140625,9.265625,9.34375,2487600.0,5.841954231262207
2000-02-04,9.453125,9.34375,9.34375,9.390625,1194000.0,5.871261119842529
2000-02-07,9.484375,9.09375,9.40625,9.28125,1344800.0,5.80287504196167
2000-02-08,9.5,9.15625,9.34375,9.234375,1170000.0,5.773571014404297
2000-02-09,9.34375,9.140625,9.25,9.140625,909600.0,5.714954853057861
2000-02-10,9.234375,9.0625,9.140625,9.15625,1580800.0,5.7247233390808105
2000-02-11,9.25,8.71875,9.25,8.765625,1278800.0,5.480494022369385
2000-02-14,8.96875,8.75,8.78125,8.84375,1257200.0,5.5293402671813965
2000-02-15,9.078125,8.84375,8.84375,8.984375,1914800.0,5.617260456085205
2000-02-16,9.265625,9.109375,9.25,9.265625,1792000.0,5.793105125427246
2000-02-17,9.09375,8.90625,9.0,9.015625,1058800.0,5.636800765991211
2000-02-18,10.5,9.046875,9.15625,10.1875,2434800.0,6.369488716125488
2000-02-22,10.171875,9.640625,10.125,10.171875,2058400.0,6.359718322753906
2000-02-23,10.15625,9.5625,10.15625,9.5625,720000.0,5.978722095489502
2000-02-24,9.546875,8.6875,9.546875,8.75,2075600.0,5.470725059509277
2000-02-25,8.6875,8.4375,8.5625,8.65625,2153200.0,5.412109375
2000-02-28,8.515625,8.28125,8.515625,8.40625,1172800.0,5.301738262176514
2000-02-29,8.46875,8.25,8.46875,8.328125,1358000.0,5.252466678619385
2000-03-01,8.625,8.34375,8.390625,8.46875,996400.0,5.341156482696533
2000-03-02,8.3125,8.09375,8.25,8.234375,1185600.0,5.193338871002197
2000-03-03,8.671875,8.203125,8.296875,8.65625,1090400.0,5.45941162109375
2000-03-06,8.59375,8.25,8.53125,8.25,849600.0,5.2031941413879395
2000-03-07,8.40625,7.8125,8.390625,7.828125,852400.0,4.937122821807861
2000-03-08,8.0,7.53125,7.953125,7.765625,1096400.0,4.897704601287842
2000-03-09,8.0625,7.6875,7.859375,8.0,651600.0,5.045522212982178
2000-03-10,8.0625,7.703125,7.75,8.0,1124000.0,5.045522212982178
2000-03-13,7.875,7.640625,7.875,7.859375,709200.0,4.95682954788208
2000-03-14,8.109375,7.8125,7.921875,7.875,1020800.0,4.966686725616455
2000-03-15,8.5,7.75,7.765625,8.375,1501200.0,5.28203010559082
2000-03-16,9.3125,8.453125,8.484375,9.296875,1659200.0,5.8634467124938965
2000-03-17,9.296875,8.703125,9.296875,8.890625,1426800.0,5.607231140136719
2000-03-20,9.265625,8.953125,9.125,8.984375,1358800.0,5.666357040405273
2000-03-21,9.5,8.96875,9.109375,9.3125,1124000.0,5.87330436706543
2000-03-22,9.3125,9.046875,9.3125,9.1875,839200.0,5.794465065002441
2000-03-23,9.625,9.125,9.125,9.5625,1117600.0,6.030975818634033
2000-03-24,9.765625,9.390625,9.5625,9.53125,1267600.0,6.01126766204834
2000-03-27,9.75,9.34375,9.625,9.609375,1250000.0,6.060536861419678
2000-03-28,9.6875,9.125,9.671875,9.3125,1177200.0,5.87330436706543
2000-03-29,9.65625,9.25,9.328125,9.40625,1277600.0,5.932430267333984
2000-03-30,9.34375,8.953125,9.34375,9.078125,1808400.0,5.725486755371094
2000-03-31,9.5,8.9375,8.953125,9.390625,1990000.0,5.922574043273926
2000-04-03,9.515625,9.125,9.515625,9.3125,776800.0,5.87330436706543
2000-04-04,9.984375,9.390625,9.484375,9.59375,1860400.0,6.050685405731201
2000-04-05,9.75,9.40625,9.75,9.453125,1022000.0,5.961997032165527
2000-04-06,9.578125,9.1875,9.453125,9.1875,1339200.0,5.794465065002441
2000-04-07,9.28125,9.015625,9.25,9.109375,709200.0,5.745193004608154
2000-04-10,9.28125,8.96875,9.09375,9.03125,542000.0,5.695920944213867
2000-04-11,9.1875,8.953125,9.09375,9.046875,889600.0,5.705777168273926
2000-04-12,9.375,8.875,8.984375,8.90625,1400400.0,5.61708402633667
2000-04-13,9.9375,9.171875,9.296875,9.65625,2063600.0,6.0901031494140625
2000-04-14,9.5,9.125,9.4375,9.15625,2065600.0,5.7747578620910645
2000-04-17,9.703125,9.15625,9.15625,9.171875,1160400.0,5.784613609313965
2000-04-18,9.578125,9.0,9.1875,9.359375,1152800.0,5.902866840362549
2000-04-19,9.328125,8.921875,9.296875,9.046875,717600.0,5.705777168273926
2000-04-20,9.203125,8.90625,8.90625,9.03125,644000.0,5.695920944213867
2000-04-24,9.21875,8.96875,9.03125,9.078125,369600.0,5.725486755371094
2000-04-25,9.25,8.875,8.953125,9.1875,688400.0,5.794465065002441
2000-04-26,9.390625,8.859375,9.25,9.046875,880800.0,5.705777168273926
2000-04-27,9.171875,8.90625,9.078125,8.9375,412000.0,5.636795520782471
